link,title,date,author,description
https://habr.com/ru/news/747940/,ШрифтAptosзаменит Calibri в качестве шрифта по умолчанию в Microsoft Office,2023-07-13T21:37:13.000Z,daniilshat,"Команда Microsoft Designсообщилав своём блоге, что окончательно готова перейти на использование шрифта Aptos в Microsoft Office в качестве шрифта по умолчанию. За шрифт проголосовали пользователи.Читать далее"
https://habr.com/ru/articles/696230/,Aptos— убийца Solana или величайший скам от манипуляторов? Большой разбор самого нашумевшего блокчейна,2022-10-29T14:56:44.000Z,MediaMetriqa,"18 октября криптосообщество ""взорвала"" новость о запуске экосистемы ожидаемого всеми проектаAptos. При начальной цене в 1 USDT курс криптовалютыAptos (APT)в моменте взлетел на10 000%после листинга на биржеBinance. Но вскоре установился на отметке7-8 USDTза токен. Листинг токена на медвежьем рынке - это само по себе рискованное занятие. Меньше пользователей, меньше ликвидности. Но у проекта была проведена настолько масштабная маркетинговая компания, что медвежий цикл им вовсе не помешал залиститься вполне успешно.Сегодня наша задача состоит в том, чтобы разобраться, из-за чего произошёл такой аномальный рост токена, что находится ""под капотом"" данного блокчейна, какие фонды и проекты поддерживают Aptos, какие перспективы у экосистемы и постараемся выяснить, откуда весь этот хайп вокруг APT.Читать далее"
https://habr.com/ru/companies/onlinepatent/news/748128/,"Microsoft таскается по судам, ИИ изобретает очевидное (и вполне вероятное): дайджест главных новостей",2023-07-15T11:00:01.000Z,Oksana_Nedvigina,"ИИ, если верить американским чиновникам, выдает инновации, которые считаются слишком «очевидными» для патентования. Microsoft таскается по судам и вот-вот поглотит  Activision Blizzard. В судебных спорах от нее не отстаетSamsung. А Alphabetпридумала новый способ автоматической активации режима Airplane Mode в смартфонах во время полетов. Самые интересные новости в сфере интеллектуальной собственности в нашем дайджесте.Читать далее"
https://habr.com/ru/articles/734226/,SUI. Полный разбор экономики токена. Стоит ли покупать?,2023-05-10T12:54:05.000Z,MediaMetriqa,"После анализа токеномики становится понятно, что экономическая модель токена SUI не устойчива. Чтобы поддержать его цену на уровне есть два пути.Первый.Фонды должны выкупать слитый в стакан объём после каждого разлока, вкладывать деньги в партнерства, привлекать разработчиков и пользователей. Но давайте будем честны. Программисты на Move дорогие (это вам не solidity). Да и судя по TVL (количество заблокированных средств на смарт‑контрактах блокчейна) того же Aptos в сравнении с Arbitrum (решение второго уровня для Эфириума), продуктами на Move особо никто не пользуется.Второй.Команда должна вкладывать крупные деньги в маркетинг, который на протяжении двух лет будет заставлять верить нас с вами в то, что за SUI будущее. Ну а в 2025 году фонды полностью зафиксируют свою прибыль, и оставят нас с вами с бесполезными токенами на руках и легким ощущением, что нас поимели.Полный разбор проекта SUI в нашем новом материале.Читать полностью"
https://habr.com/ru/articles/771242/,Как запустить Web3-проект | Часть 1: Коммьюнити-менеджмент и маркетинг,2023-11-01T09:28:47.000Z,VladSmirnov,"Web3 захватывает мир, но для многих это по-прежнему пугающий «black box», который работает по неведомым законам и таит много сложностей. Чтобы в очередной раз доказать, что не так страшен чёрт, как его малюют, я написал обстоятельный гайд по запуску Web3-проектов. В первую очередь он рассчитан на фаундеров и продакт-менеджеров, которые чувствуют себя уверенно в мире традиционных IT-продуктов, но боятся осваивать Web3.Я фаундер и CPO Web3-проекта MOOW, мобильного фитнес и лайфстайл приложения с элементами геймификации. Берясь за MOOW, я имел многолетний пользовательский опыт с различными блокчейн-проектами, но только приблизительно понимал, как их создавать.Читать далее"
https://habr.com/ru/articles/754506/,8 главных новостей из мира дизайна за июль,2023-08-14T13:50:34.000Z,roman_logo,"Яндекс 360 придумал новый логотип, у Альфа Банк и МТС появились коллекции мерча, а Twitter сошел с ума. Поделюсь своим мнением об этих и других новостях в дизайне.Читать далее"
https://habr.com/ru/news/754614/,В Microsoft Office в сентябре появятся новое цветовое оформление и шрифт,2023-08-15T05:57:01.000Z,maybe_elf,"Microsoftтестируетновое оформление Office, которое по умолчанию будет доступно всем подписчикам Microsoft 365 в следующем месяце. В нём появится шрифт Aptos, новая цветовая палитра, стили и обновлённая толщина линий.Читать далее"
https://habr.com/ru/companies/ruvds/articles/826884/,"Times New Roman, Arial и другие: как возникли самые распространённые компьютерные шрифты?",2024-07-06T09:00:52.000Z,Erwinmal,"При всей современной «клиповой культуре», стриминговых видео и графических мемах интернет — прежде всего текстовая среда. А где есть текст, там всегда есть шрифт. Какие-то, как Times New Roman, знают и используют практически все. Какие-то, как используемый для интерфейсов Windows Segoe, мы видим очень часто, но обычно не знаем их названий. Некоторые даже вызывают массу эмоций, как мемно ненавидимый Comic Sans. Но в сети и за монитором мы видим тексты, набранные теми или иными шрифтами, почти всегда. Как возникли самые популярные и мемные гарнитуры шрифтов, и почему именно они вошли в топ самых используемых в электронных текстах?Читать дальше →"
https://habr.com/ru/articles/726226/,Как зарабатывать на активностях в новых блокчейн-сетях. Ретродропы и тестнеты,2023-03-31T16:33:54.000Z,MediaMetriqa,"В этой статье мы поделились опытом, полученным за время нашего участия в тестнетах и дропах (это и Aptos, и Arbitrum, и другие) разобрали, что такое ретродропы, как в них можно поучаствовать, почему проектам выгодно раздавать токены ранним пользователям (в этом контексте коснулись регуляции криптовалют) и немного углубились в тонкости - в то, каким образом можно увеличить свой шанс на получение хорошего дропа. Материал вышел немаленький, поэтому ниже содержание с якорными ссылками. Приятного прочтения!Читать далее"
https://habr.com/ru/companies/metalamp/articles/792094/,Вестинг в криптопроектах: зачем нужен и как реализовать на Solidity,2024-02-07T14:15:48.000Z,yarlykovrv,"Привет, Хабр! Меня зовут Рома Ярлыков и я Solidity-разработчик в компании MetaLamp. В этой статье я подробнее расскажу про различные приемы, подходы и паттерны в распределение токенов среди участников проекта, а также покажу несколько популярных решений, используемых для вестинга токенов, одно из которых я применял на проекте заказчика. В этой статье можно найти ответы на популярные вопросы, которые возникают у разработчиков в проекте при реализации вестинга.Читать далее"
